assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,0,0,1,36,16000,jewish,1,0,0,1,0.58477439,3.786600828
0,0,0,0,1,50,24000,jewish,0,0,0,0,-10.89941859,-10.10818958
1,1,1,0,0,35,16000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,1,0,1,34,8000,jewish,0,1,0,0,-8.661177158,-5.761204958
1,1,0,1,0,33,12000,jewish,0,0,0,0,-8.661177158,-5.761204958
0,0,0,0,0,35,16000,jewish,1,1,1,1,5.8282125,6.310444474
1,1,1,0,1,54,8000,jewish,0,0,0,0,2.846446037,-1.072461456
1,1,0,1,0,73,3000,jewish,0,0,1,0,0.455873758,3.613230884
0,0,0,0,0,69,3000,jewish,0,0,1,1,10.68817377,11.00473046
1,1,1,0,1,28,8000,jewish,0,1,1,1,12.73045063,13.16962957
1,1,0,1,0,41,12000,jewish,1,1,0,1,-3.99718076,-3.249004483
0,0,0,0,0,26,8000,jewish,0,0,0,0,-10.89941859,-10.10818958
0,0,0,0,0,31,8000,jewish,1,0,0,0,-10.89941859,-5.425547957
1,0,0,1,1,67,3000,jewish,0,0,0,1,8.08988452,6.313495636
0,0,0,0,0,56,8000,jewish,0,1,0,0,0.58477439,-5.590324998
1,1,0,1,1,53,12000,jewish,0,1,0,0,3.07759285,5.966195464
1,1,1,0,0,52,24000,jewish,0,1,1,1,17.67245293,18.03174257
1,1,0,1,0,25,16000,jewish,1,0,0,1,-8.579135537,-7.766868472
0,0,0,0,0,37,12000,jewish,0,1,0,1,10.10873199,15.69042206
1,1,1,0,0,52,16000,jewish,1,1,0,1,5.8282125,8.651765585
0,0,0,0,0,41,12000,jewish,0,1,1,1,12.70702124,8.651765585
1,1,0,0,1,56,12000,jewish,0,1,0,0,-1.457502842,5.783672333
0,0,0,0,1,33,8000,jewish,0,1,0,0,5.444735289,8.307515979
1,1,0,0,0,35,24000,jewish,0,1,1,1,5.526776314,10.8252573
1,1,0,1,1,32,24000,jewish,0,1,0,1,10.41016698,18.03174257
1,1,1,0,0,67,16000,jewish,1,0,0,0,-4.184692502,-7.934696674
0,0,0,0,1,70,3000,jewish,0,1,0,0,7.569053769,-0.901581869
1,1,1,0,1,66,3000,jewish,0,0,0,1,17.67245293,18.03174257
0,0,0,0,0,35,8000,jewish,1,1,0,0,3.484499454,-0.896040201
0,0,0,0,1,60,12000,jewish,0,0,0,1,12.73045063,15.69042206
1,1,1,0,1,63,12000,jewish,0,0,0,1,17.67245293,15.51095009
1,1,0,0,0,32,12000,jewish,1,0,0,0,3.183063567,3.786600828
1,1,0,1,1,35,16000,jewish,0,0,0,0,-1.758938581,-3.416832983
1,1,0,1,1,51,12000,jewish,1,0,0,0,5.468165278,3.445402682
0,0,0,0,0,46,16000,jewish,1,1,0,0,3.206493258,6.310444474
1,1,0,1,0,36,12000,jewish,0,1,1,0,5.526776314,3.786600828
1,1,0,0,0,37,12000,jewish,1,1,0,0,0.58477439,-3.249004483
1,1,0,0,0,39,16000,jewish,1,1,0,0,-10.89941859,-3.081176281
1,1,1,0,1,61,0,jewish,1,1,0,0,5.8282125,-5.590324998
1,1,1,0,1,42,12000,jewish,0,0,0,1,3.206493258,3.78965199
1,1,1,0,0,24,3000,no religion,1,0,1,0,3.206493258,1.445280463
1,1,1,0,0,51,16000,jewish,0,0,0,0,12.81249166,13.16962957
0,0,0,0,1,61,8000,jewish,0,0,0,0,8.148495555,18.03174257
1,1,1,0,0,39,24000,jewish,0,0,0,0,-10.89941859,-10.10818958
1,1,1,0,1,43,12000,jewish,0,1,1,0,-6.422934532,-1.072461456
1,1,1,0,0,39,12000,jewish,1,0,0,1,-6.317464113,-1.072461456
1,0,0,1,0,52,3000,jewish,1,0,0,0,12.42901444,-0.72821185
1,1,1,0,1,34,16000,jewish,0,1,0,0,-8.579135537,-5.59337616
1,1,0,1,1,30,8000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,0,1,0,36,16000,jewish,0,1,0,0,5.143299699,6.130972505
1,1,0,1,1,35,24000,no religion,0,1,0,0,10.46877861,10.64578533
1,1,1,0,0,69,3000,jewish,1,0,0,0,-1.676897407,-3.252055645
1,0,0,1,1,65,12000,jewish,1,0,0,0,-6.317464113,-7.934696674
1,1,1,0,0,34,3000,jewish,0,0,0,0,3.206493258,1.445280463
1,1,0,0,0,38,12000,jewish,0,0,0,1,-3.695744872,-0.725160912
1,1,1,0,0,47,12000,jewish,1,1,0,1,-6.317464113,-5.590324998
1,0,0,1,0,31,12000,jewish,1,1,0,0,-6.258852482,-7.766868472
1,0,0,1,0,42,12000,jewish,1,1,0,0,-1.676897407,-1.078563482
1,0,0,1,1,69,12000,jewish,1,0,0,0,-6.340893507,-3.419884145
1,1,1,0,0,39,16000,jewish,0,1,0,0,-10.89941859,-10.10818958
1,1,0,1,0,42,16000,jewish,1,1,0,0,0.944821537,-0.907684043
0,0,0,0,1,35,12000,jewish,1,1,1,1,12.73045063,NA
1,0,1,0,0,33,12000,jewish,1,1,0,0,-6.258852482,-5.425547957
1,0,1,0,1,62,24000,jewish,0,0,0,0,-6.258852482,-5.425547957
1,1,1,0,0,31,8000,jewish,1,0,0,0,-1.758938581,-3.419884145
1,1,1,0,1,57,12000,jewish,1,1,0,0,8.148495555,8.651765585
1,1,0,1,1,44,16000,jewish,0,1,0,0,5.8282125,3.621823788
1,1,0,0,1,51,16000,jewish,0,1,0,0,-3.034262061,-5.066603422
1,1,0,0,1,51,16000,jewish,0,1,0,0,2.846446037,6.142616272
1,1,1,0,0,72,16000,jewish,0,1,1,1,-1.457502842,1.265808195
1,1,1,0,0,67,16000,jewish,0,1,1,1,7.847059965,8.304464817
1,0,0,1,1,48,16000,jewish,1,1,0,1,-4.079221785,-5.59337616
1,0,1,0,0,51,8000,jewish,1,0,0,0,-10.89941859,-7.766868472
0,0,0,0,1,71,12000,jewish,1,0,0,0,-1.758938581,1.265808195
1,0,0,0,0,42,12000,jewish,0,0,0,0,-3.613703847,-2.901704013
1,1,0,1,1,44,24000,jewish,1,1,0,0,-10.89941859,-10.10818958
1,1,1,0,0,51,16000,jewish,1,1,0,0,-4.020610452,-0.72821185
1,1,0,0,0,40,16000,jewish,0,0,0,0,17.67245293,15.69042206
0,0,0,0,1,39,16000,jewish,0,1,0,0,-1.457502842,-0.896040201
1,1,1,0,1,35,8000,jewish,1,0,0,0,5.910253525,1.613108665
1,0,1,0,1,72,12000,jewish,0,1,1,NA,10.38673759,NA
1,1,0,1,1,46,16000,jewish,0,1,0,1,15.35216928,15.69042206
1,0,0,0,0,34,12000,jewish,1,1,0,0,-1.700327098,-5.425547957
0,0,0,0,1,37,16000,jewish,0,1,0,0,8.148495555,10.8252573
1,1,1,0,1,46,12000,jewish,1,1,0,0,-1.758938581,-1.075512394
1,1,1,0,0,30,12000,jewish,0,0,0,0,-4.020610452,-10.10818958
0,0,0,0,1,37,16000,jewish,1,1,1,1,5.80478251,8.651765585
1,1,0,1,1,31,12000,jewish,0,0,0,0,17.67245293,-0.72821185
1,1,0,1,1,40,12000,jewish,0,0,0,1,5.468165278,10.64883709
1,0,1,0,0,70,12000,jewish,0,0,0,0,2.905057669,5.783672333
1,1,0,1,1,59,24000,jewish,0,1,0,0,2.905057669,3.78965199
1,1,0,0,1,24,0,jewish,1,0,0,1,0.886210129,1.445280463
1,1,1,0,0,22,0,jewish,0,0,0,1,0.862780437,-0.896040201
1,1,1,0,0,72,3000,jewish,0,0,0,1,0.50273329,6.142616272
1,0,0,1,0,65,8000,jewish,1,0,0,0,5.746171474,1.448331326
1,1,1,0,1,33,12000,jewish,0,1,0,0,12.42901444,10.64883709
1,1,0,0,0,68,12000,jewish,0,0,0,0,5.746171474,3.96912396
1,0,0,1,0,35,8000,jewish,1,1,1,1,8.148495555,NA
1,1,1,0,1,65,8000,jewish,1,0,0,1,7.463582754,5.780621171
