"municpality","corruption","council.age","margin","reelected","transfers","poverty"
1100122,0,1,19.6280002593994,0,75.2600014209747,26.9950008392334
1100502,75,NA,8.73600006103516,0,28.3100008964539,43.1689987182617
1100809,40.0000005960464,12,15.0909996032715,0,36.039999127388,49.4099998474121
1101401,0,10,48.9500007629395,1,72.2400009632111,38.2210006713867
1101435,66.6666686534882,10,3.13700008392334,0,31.9000005722046,52.2599983215332
1101450,60.0000023841858,0,1.44099998474121,1,23.3799979090691,60.7270011901855
1200013,0,10,18.0179996490479,0,26.2800008058548,55.1590003967285
1200104,0,16,34.0699996948242,1,50.4000008106232,54.4970016479492
1200328,0,11,15,0,64.0599966049194,91.5419998168945
1200336,16.666667163372,13,27.7140007019043,0,57.2899997234344,66.0400009155273
1200708,14.2857149243355,10,2.22199988365173,0,45.1200008392334,56.8959999084473
1300060,0,12,19.8540000915527,1,39.2700016498566,79.6380004882812
1300300,20.0000002980232,9,14.6359996795654,1,60.2400004863739,74.8199996948242
1300607,0,1,28.5799999237061,1,55.1400005817413,75.9130020141602
1300680,40.0000005960464,14,10.0880002975464,0,42.7100002765656,81.9759979248047
1300805,0,18,28.6000003814697,1,62.6399993896484,80.7740020751953
1301001,0,10,2.53800010681152,0,36.9100004434586,80.3629989624023
1301100,66.6666686534882,16,3.10400009155273,0,49.7199982404709,60.3880004882812
1301159,0,16,7.60400009155273,1,44.2499965429306,72.6829986572266
1301605,16.666667163372,9,0.550000011920929,0,57.150000333786,86.9700012207031
1301605,0,12,7.17999982833862,0,54.150003194809,86.9700012207031
1302702,100,NA,5.5479998588562,0,72.4200010299683,74.9359970092773
1302801,0,10,4.04899978637695,0,26.3400018215179,84.5240020751953
1302900,12.5,5,15.0340003967285,1,50.67999958992,73.7809982299805
1303007,12.5,7,2.76799988746643,1,28.8800001144409,75.8730010986328
1304062,40.0000005960464,28,3.3199999332428,0,NA,55.9700012207031
1400027,0,NA,2.0699999332428,0,57.8399956226349,65.9879989624023
1400159,0,7,7.22100019454956,0,44.1299974918365,62.9189987182617
1400209,40.0000005960464,8,2.34299993515015,0,34.9400013685226,48.048999786377
1400407,40.0000005960464,NA,2.375,0,63.9800012111664,78.8369979858398
1500107,66.6666686534882,11,0.778999984264374,0,75.1900017261505,64.693000793457
1500503,0,14,22.2280006408691,0,NA,49.6599998474121
1500602,0,13,12.7959995269775,0,39.8399978876114,37.6609992980957
1500909,40.0000005960464,11,0.800000011920929,1,57.9499959945679,76.9680023193359
1501758,50,11,2.32399988174438,0,30.8599978685379,60.1910018920898
1502301,0,NA,10.3170003890991,0,NA,74.8980026245117
1502764,75,9,15.9370002746582,0,21.6999992728233,38.3440017700195
1502939,60.0000023841858,1,2.43700003623962,1,NA,58.5069999694824
1503044,0,9,23.5109996795654,0,47.0899999141693,62.8639984130859
1503200,0,13,6.07200002670288,0,57.5100004673004,62.8460006713867
1503408,20.0000002980232,15,22.1399993896484,1,47.4900007247925,64.9739990234375
1504059,40.0000005960464,9,37.6940002441406,1,42.4100011587143,58.7900009155273
1504422,60.0000023841858,3,11.8050003051758,1,85.3399991989136,49.1380004882812
1504950,0,13,8.11999988555908,0,52.8599977493286,72.8619995117188
1505205,20.0000002980232,2,10.0159997940063,1,38.1500005722046,80.0090026855469
1505304,0,10,18.5219993591309,0,22.2299993038177,57.3359985351562
1505403,40.0000005960464,14,0.603999972343445,0,65.8399939537048,70.2160034179688
1505437,33.3333343267441,16,17.1009998321533,0,52.6199996471405,51.3629989624023
1505486,40.0000005960464,11,10.0530004501343,0,39.3799990415573,69.1179962158203
